"tutorial.payment_about",900000000020,"请及时支付房租和贷款。逾期会产生滞纳金，严重时会被催债。","請及時支付房租和貸款。逾期會產生滯納金，嚴重時會被催債。","Pay rent and loans on time. Late payments incur fees and may lead to debt collection.","家賃、ローンの支払いはこまめにしましょう。支払いが遅れると延滞金が発生したり、取り立てが来ます。"
"tutorial.upgrade_open",900000000021,"现在可以扩大店铺了！从电脑升级吧！","現在可以擴大店鋪了！從電腦升級吧！","You can now expand your shop! Upgrade from the PC.","店舗を拡大できるようになりました！PCからアップグレードできます。"
"tutorial.upgrade_about",900000000022,"扩大店铺后，床位数量增加，最大集客度也会提高。房租也会增加。","擴大店鋪後，床位數量增加，最大集客度也會提高。房租也會增加。","Expanding adds more beds and increases max attraction. Rent increases too.","店舗を拡大するとベッド数が増え、最大集客度も増えます。家賃も高くなりますが稼げます。"
"msg.wait_reception",900000000030,"前台有顾客在等待","前台有顧客在等待","A customer is waiting at reception","受付にお客様が待っています"
"msg.wait_cashier",900000000031,"收银台有顾客在等待","收銀台有顧客在等待","A customer is waiting at the register","レジにお客様が待っています"
"msg.day_end",900000000032,"今天辛苦了。所有顾客的施术结束后可以从门口回家。","今天辛苦了。所有顧客的施術結束後可以從門口回家。","Good work today. You can leave through the door when all treatments are done.","今日もお疲れさまでした。すべてのお客様の施術が終わったらドアから帰れます。"
"msg.good_morning",900000000033,"早上好。开始准备开店吧。","早上好。開始準備開店吧。","Good morning. Let's prepare to open.","おはようございます。開店の準備をしましょう。"
"msg.treatment_fail",900000000034,"顾客无法忍受疼痛离开了！","顧客無法忍受疼痛離開了！","The customer couldn't take the pain and left!","お客様が痛みに耐えられず帰ってしまった！"
"msg.wait_timeout",900000000035,"顾客等不及离开了！","顧客等不及離開了！","The customer got tired of waiting and left!","お客様が待ちきれずに帰ってしまった！"
"msg.wait_warning",900000000036,"顾客等太久开始烦躁了！","顧客等太久開始煩躁了！","The customer is getting frustrated from waiting!","お客様が待たされすぎてイライラしている！"
"msg.upsell_fail",900000000037,"推荐了太贵的商品！","推薦了太貴的商品！","You suggested a product that was too expensive!","高すぎる商品を提案してしまった！"
"msg.staff_fail",900000000038,"员工等级太低无法解决顾客的问题！","員工等級太低無法解決顧客的問題！","The staff's rank was too low to solve the customer's issue!","スタッフのランクが低いためお客様の課題を解決できなかった！"
"msg.star_level_up",900000000039,"星级提升到{0}了！","星級提升到{0}了！","Your star level is now {0}!","星レベルが{0}になりました！"
"msg.staff_limit_up",900000000040,"现在可以雇佣{0}名员工了！","現在可以僱傭{0}名員工了！","You can now hire up to {0} staff!","スタッフを{0}人まで雇えるようになりました！"
