Key,Id,Chinese (Simplified)(zh-CN),Chinese (Traditional)(zh-TW),English(en),Japanese(ja)
"review.5star.1.title",533097279488,"Amazing Results!","完美效果！","Amazing Results!","驚きの仕上がり！"
"review.5star.1.content",533097279489,"Absolutely perfect! The staff was so gentle and professional. My skin is silky smooth now. Will definitely come back!","完美无瑕！员工非常温柔专业。我的皮肤现在光滑如丝。一定会再来！","Absolutely perfect! The staff was so gentle and professional. My skin is silky smooth now. Will definitely come back!","完璧です！スタッフさんがとても優しくて丁寧でした。お肌がツルツルになりました。絶対また来ます！"
"review.5star.2.title",533097279490,"Best Salon Ever!","史上最好的沙龙！","Best Salon Ever!","最高のサロン！"
"review.5star.2.content",533097279491,"I've tried many places but this one is the best. No pain at all and the results are incredible. Highly recommend!","我试过很多店，但这里是最好的。完全不痛，效果惊人。强烈推荐！","I've tried many places but this one is the best. No pain at all and the results are incredible. Highly recommend!","いろんなお店を試しましたが、ここが一番です。全く痛くなくて、効果も抜群。超おすすめ！"
"review.5star.3.title",533097279492,"So Smooth! No Pain!","超光滑！不痛！","So Smooth! No Pain!","ツルツル！痛くない！"
"review.5star.3.content",533097279493,"Best decision ever. The new laser machine is magic! The cooling gel was so refreshing too.","做出的最好决定。新的激光机器太神奇了！冷却凝胶也很舒服。","Best decision ever. The new laser machine is magic! The cooling gel was so refreshing too.","最高の選択でした。新しいレーザーマシン最高！冷却ジェルも気持ちよかったです。"
"review.4star.1.title",533097279494,"Very Good Experience","非常好的体验","Very Good Experience","とても良い体験"
"review.4star.1.content",533097279495,"Great service overall. Just a tiny bit of discomfort but nothing major. Would recommend to friends.","整体服务很好。只有一点点不适，但没什么大问题。会推荐给朋友。","Great service overall. Just a tiny bit of discomfort but nothing major. Would recommend to friends.","全体的にとても良いサービスでした。少しだけ痛みがありましたが、問題なし。友達にもおすすめします。"
"review.4star.2.title",533097279496,"Happy with Results","对结果很满意","Happy with Results","仕上がりに満足"
"review.4star.2.content",533097279497,"The treatment was effective and the staff was friendly. Could use a bit more cooling gel though.","治疗很有效，员工很友好。不过冷却凝胶可以多用一点。","The treatment was effective and the staff was friendly. Could use a bit more cooling gel though.","施術が効果的でスタッフも親切でした。冷却ジェルがもう少し欲しかったかな。"
"review.4star.3.title",533097279498,"Good Value","性价比高","Good Value","コスパ良し"
"review.4star.3.content",533097279499,"Reasonable price for the quality of service. A few areas needed a second pass but overall satisfied.","服务质量对得起这个价格。有几个地方需要再做一次，但总体满意。","Reasonable price for the quality of service. A few areas needed a second pass but overall satisfied.","サービスの質に対して価格が妥当です。一部やり直しが必要でしたが、全体的に満足。"
"review.3star.1.title",533097279500,"It was okay","还行吧","It was okay","まあまあでした"
"review.3star.1.content",533097279501,"The result is fine, but the waiting time was a bit long. Also, the cooling gel was too cold.","结果还行，但等待时间有点长。而且冷却凝胶太冷了。","The result is fine, but the waiting time was a bit long. Also, the cooling gel was too cold.","結果は普通です。待ち時間が長かったし、冷却ジェルが冷たすぎました。"
"review.3star.2.title",533097279502,"Average Experience","一般体验","Average Experience","普通の体験"
"review.3star.2.content",533097279503,"Nothing special. Got the job done but I expected more for the price.","没什么特别的。完成了任务，但期望更高一些。","Nothing special. Got the job done but I expected more for the price.","特に何もなし。仕事はしてくれたけど、価格の割には期待外れ。"
"review.3star.3.title",533097279504,"Could Be Better","可以更好","Could Be Better","もっと良くなれる"
"review.3star.3.content",533097279505,"Some areas were missed and had to point them out. Staff was polite though.","有些地方漏掉了，不得不指出来。不过员工很礼貌。","Some areas were missed and had to point them out. Staff was polite though.","いくつかの箇所が抜けていて指摘しました。スタッフは丁寧でしたが。"
"review.2star.1.title",533097279506,"Not Great","不太好","Not Great","あまり良くない"
"review.2star.1.content",533097279507,"The technician was rushing and missed several spots. Had to ask for a redo.","技师太着急了，漏了好几个地方。不得不要求重做。","The technician was rushing and missed several spots. Had to ask for a redo.","施術者が急いでいて、何箇所も抜けがありました。やり直しをお願いしました。"
"review.2star.2.title",533097279508,"Disappointed","很失望","Disappointed","がっかり"
"review.2star.2.content",533097279509,"Expected better results for the price. Some redness remained after treatment.","期望价格能换来更好的效果。治疗后还有一些红肿。","Expected better results for the price. Some redness remained after treatment.","この価格ならもっと良い結果を期待していました。施術後に赤みが残りました。"
"review.2star.3.title",533097279510,"Needs Improvement","需要改进","Needs Improvement","改善が必要"
"review.2star.3.content",533097279511,"The equipment seemed old and the treatment was uncomfortable. Won't be my first choice next time.","设备看起来很旧，治疗过程不舒服。下次不会是我的首选。","The equipment seemed old and the treatment was uncomfortable. Won't be my first choice next time.","機械が古そうで、施術が不快でした。次回は他を選びます。"
"review.1star.1.title",533097279512,"Ouch! Not happy.","好痛！不满意","Ouch! Not happy.","痛い！不満です"
"review.1star.1.content",533097279513,"The technician was rough and it hurt more than expected. I still have some stubble left. Won't be coming back.","技师很粗暴，比预期的更痛。还有一些残留的毛茬。不会再来了。","The technician was rough and it hurt more than expected. I still have some stubble left. Won't be coming back.","施術者が乱暴で、思ったより痛かったです。まだ毛が残っています。もう来ません。"
"review.1star.2.title",533097279514,"Terrible Experience","糟糕的体验","Terrible Experience","最悪の体験"
"review.1star.2.content",533097279515,"Wasted my money and time. The staff was rude and the results were awful. Avoid this place!","浪费了我的钱和时间。员工很粗鲁，效果很差。别来这里！","Wasted my money and time. The staff was rude and the results were awful. Avoid this place!","お金と時間の無駄でした。スタッフは無礼で、結果も最悪。ここは避けて！"
"review.1star.3.title",533097279516,"Never Again","再也不来了","Never Again","二度と来ない"
"review.1star.3.content",533097279517,"Burned my skin and no apology. This place is dangerous. Filing a complaint.","烧伤了我的皮肤，连道歉都没有。这个地方很危险。要投诉。","Burned my skin and no apology. This place is dangerous. Filing a complaint.","肌をやけどされて謝罪もなし。ここは危険です。苦情を出します。"
"toolshop.title",533101473792,"工具商店","工具商店","TOOL SHOP","ツールショップ"
"toolshop.grade",533101473793,"店铺等级: {0}","店鋪等級: {0}","Shop Grade: {0}","店舗グレード: {0}"
"toolshop.confirm_purchase",533101473794,"购买 {0}，价格 ${1}？","購買 {0}，價格 ${1}？","Purchase {0} for ${1}?","{0}を${1}で購入しますか？"
"tool.range",533101473795,"范围","範圍","Range","範囲"
"tool.range_narrow",533101473796,"狭窄","狹窄","Narrow","狭い"
"tool.range_normal",533101473797,"普通","普通","Normal","普通"
"tool.range_wide",533101473798,"宽广","寬廣","Wide","広い"
"tool.range_ultra",533101473799,"超广","超廣","Ultra Wide","超広範囲"
"tool.removal_rate",533101473800,"脱毛度","脫毛度","Removal","脱毛度"
"tool.pain",533101473801,"疼痛","疼痛","Pain","痛み"
"tool.pain_none",533101473802,"无痛","無痛","None","なし"
"tool.pain_low",533101473803,"轻微","輕微","Low","軽度"
"tool.pain_medium",533101473804,"中等","中等","Medium","中度"
"tool.pain_high",533101473805,"剧烈","劇烈","High","激痛"
"tool.fire_rate",533101473806,"速度","速度","Speed","連射"
"tool.rate_slow",533101473807,"缓慢","緩慢","Slow","遅い"
"tool.rate_normal",533101473808,"普通","普通","Normal","普通"
"tool.rate_fast",533101473809,"快速","快速","Fast","速い"
"tool.rate_continuous",533101473810,"连续","連續","Continuous","連続"
"tool.requires_shaving",533101473811,"需要先剃毛","需要先剃毛","Requires Shaving","シェービング必須"
"tool.no_shaving",533101473812,"无需剃毛","無需剃毛","No Shaving Required","シェービング不要"
"tool.locked",533101473813,"锁定","鎖定","Locked","ロック中"
"tool.locked_grade",533101473814,"需要等级 {0}","需要等級 {0}","Requires Grade {0}","グレード{0}で解放"
"tool.owned",533101473815,"已拥有","已擁有","Owned","所持済み"
"tool.purchase",533101473816,"购买","購買","Purchase","購入"
"tool.out_of_stock",533101473817,"售罄","售罄","OUT OF STOCK","在庫切れ"
"toolshop.delivery_info",533101473818,"配送: 第{0}天","配送: 第{0}天","Delivery: Day {0}","配達: Day {0}"
"toolshop.order_details",533101473819,"订单详情","訂單詳情","Order Details","注文内容"
"tool.scope",533101473820,"范围","範圍","Scope","範囲"
"tool.pain",533101473821,"疼痛","疼痛","Pain","痛み"
"tool.power",533101473822,"功率","功率","Power","パワー"
"tool.speed",533101473823,"速度","速度","Speed","速度"
"tool.pending_delivery",533101473824,"配送中","配送中","Pending Delivery","配送待ち"
"tool.delivery_day",533101473825,"Day {0} 到达","Day {0} 到達","Arrives Day {0}","Day {0} 着"
"tool.sell",533101473826,"出售","出售","SELL","売却"
"toolshop.sell_confirm","533101473827","确认出售？","確認出售？","Confirm Sell?","売却しますか？"
"advertising.title",600000000001,"广告","廣告","Advertising","広告"
"advertising.free",600000000002,"免费","免費","FREE","無料"
"advertising.day",600000000003,"天","天","day","日"
"advertising.days",600000000004,"天","天","days","日"
"advertising.day_left",600000000005,"天剩余","天剩餘","day left","日残り"
"advertising.days_left",600000000006,"天剩余","天剩餘","days left","日残り"
"advertising.locked",600000000007,"锁定","鎖定","LOCKED","ロック"
"advertising.locked_grade",600000000008,"需要等级 {0}","需要等級 {0}","Requires Grade {0}","グレード{0}必要"
"advertising.start",600000000009,"开始","開始","START","開始"
"advertising.attraction_rate",600000000010,"集客率","集客率","Attraction Rate","集客率"
"advertising.vip_coefficient",600000000011,"VIP系数","VIP係數","VIP Coefficient","VIP係数"
"ad.free_sns",600000000100,"免费SNS","免費SNS","Free SNS","無料SNS"
"ad.free_sns.desc",600000000101,"社交媒体免费发帖","社交媒體免費發帖","Free social media posting","SNSに無料投稿"
"ad.flyer",600000000102,"传单","傳單","Flyers","チラシ配り"
"ad.flyer.desc",600000000103,"在街头分发传单","在街頭分發傳單","Distribute flyers on the street","街頭でチラシを配布"
"ad.sns_paid",600000000104,"SNS付费广告","SNS付費廣告","Paid SNS Ads","SNS有料広告"
"ad.sns_paid.desc",600000000105,"社交媒体付费推广","社交媒體付費推廣","Paid social media promotion","SNSへの有料広告"
"ad.magazine",600000000106,"杂志广告","雜誌廣告","Magazine Ad","雑誌広告"
"ad.magazine.desc",600000000107,"杂志上的广告","雜誌上的廣告","Advertisement in magazines","雑誌への広告掲載"
"ad.poster",600000000108,"中吊广告","中吊廣告","Train Poster","中吊り広告"
"ad.poster.desc",600000000109,"电车内的广告","電車內的廣告","Ads inside trains","電車内の広告"
"ad.tv_cm",600000000110,"电视广告","電視廣告","TV Commercial","テレビCM"
"ad.tv_cm.desc",600000000111,"电视商业广告","電視商業廣告","TV commercial spot","テレビCMを放映"
"ad.billboard",600000000112,"巨型广告牌","巨型廣告牌","Giant Billboard","巨大ビル広告"
"ad.billboard.desc",600000000113,"城市中心的巨型广告","城市中心的巨型廣告","Huge billboard in city center","都心の巨大広告"
"ad.video_streaming",600000000114,"视频网站广告","視頻網站廣告","Video Streaming Ad","動画配信サイト広告"
"ad.video_streaming.desc",600000000115,"视频平台的广告","視頻平台的廣告","Ads on video platforms","動画サイトでの広告"
"ad.influencer",600000000116,"网红营销","網紅營銷","Influencer Marketing","インフルエンサーマーケティング"
"ad.influencer.desc",600000000117,"委托网红宣传","委託網紅宣傳","Hire influencer for promotion","インフルエンサーに宣伝依頼"
"advertising.now_active",600000000120,"运行中","運行中","NOW ACTIVE","実行中"
"advertising.used_today",600000000121,"今日已使用","今日已使用","USED TODAY","本日使用済"
"advertising.no_money",600000000122,"资金不足","資金不足","NO FUNDS","資金不足"
"advertising.max_reached",600000000123,"广告已满","廣告已滿","MAX ADS","広告枠満"
"advertising.cooldown",600000000124,"冷却:{0}天","冷卻:{0}天","CD: {0}d","CD:{0}日"
"advertising.base_rate",600000000125,"基础集客率","基礎集客率","Base Rate","基本集客率"
"advertising.ad_boost",600000000126,"广告效果","廣告效果","Ad Boost","広告効果"
"advertising.base_vip",600000000127,"基础VIP","基礎VIP","Base VIP","基本VIP"
"advertising.ad_vip_boost",600000000128,"广告VIP","廣告VIP","Ad VIP","広告VIP"
"review.1star.0.title",73724004069376," "," "," "," "
"review.1star.0.content",73759148142592," "," "," "," "
"review.2star.0.title",73766848884736," "," "," "," "
"review.2star.0.content",73772519583744," "," "," "," "
"review.3star.0.title",74006075207680," "," "," "," "
"review.3star.0.content",74131958853632," "," "," "," "
"review.4star.0.title",74181984317440," "," "," "," "
"review.4star.0.content",74202070839296," "," "," "," "
"review.5star.0.title",74238225739776," "," "," "," "
"review.5star.0.content",74258492616704," "," "," "," "
"NextReviewRank",76065100984320,,,"Next Rank :","次のランクまで :"
"ui.staff_count",700000000001,"员工: {0}/{1}","員工: {0}/{1}","Staff: {0}/{1}","スタッフ: {0}/{1}"
"ui.shop_grade",700000000002,"等级 {0}","等級 {0}","Grade {0}","グレード {0}"
"ui.staff_rank",700000000003,"等级: {0}","等級: {0}","Rank: {0}","ランク: {0}"
"ui.staff_daily_cost",700000000004,"日薪: ${0}","日薪: ${0}","Cost/Day: ${0}","日給: ${0}"
"ui.staff_working",700000000005,"工作中","工作中","Working","勤務中"
"ui.staff_starts_tomorrow",700000000006,"明天开始","明天開始","Starts Tomorrow","明日から勤務"
"ui.assignment_none",700000000007,"未分配","未分配","Unassigned","未配置"
"ui.assignment_reception",700000000008,"前台","前台","Reception","受付"
"ui.assignment_cashier",700000000009,"收银","收銀","Cashier","レジ"
"ui.assignment_treatment",700000000010,"护理 (床位 {0})","護理 (床位 {0})","Treatment (Bed {0})","施術 (ベッド {0})"
"ui.assignment_restock",700000000011,"补货","補貨","Restock","補充"
"ui.select_assignment",700000000012,"选择岗位","選擇崗位","Select Assignment","配置場所を選択"
"ui.per_day",700000000013,"${0}/天","${0}/天","${0}/day","${0}/日"
"ui.fire_confirm",700000000014,"确定要解雇 {0} 吗？","確定要解僱 {0} 嗎？","Are you sure you want to fire {0}?","{0}を解雇しますか？"
"ui.cannot_undo",700000000015,"此操作无法撤销。","此操作無法撤銷。","This action cannot be undone.","この操作は取り消せません。"
"ui.salary_title",700000000016,"工资: {0}","工資: {0}","Salary: {0}","給与: {0}"
"ui.due_in_days",700000000017,"{0}天后","{0}天後","Due in {0} day(s)","{0}日後"
"ui.due_today",700000000018,"今天到期","今天到期","Due Today","本日期限"
"ui.overdue_days",700000000019,"逾期 {0} 天","逾期 {0} 天","Overdue by {0} day(s)","{0}日超過"
"ui.overdue",700000000020,"逾期","逾期","OVERDUE","延滞"
"ui.pending",700000000021,"待支付","待支付","Pending","未払い"
"ui.unknown",700000000022,"未知","未知","Unknown","不明"
"staff_rank_college",700000000030,"大学生","大學生","College Student","大学生"
"staff_rank_newgrad",700000000031,"应届毕业生","應屆畢業生","New Graduate","新卒"
"staff_rank_midcareer",700000000032,"中级员工","中級員工","Mid-Career","中堅"
"staff_rank_veteran",700000000033,"资深员工","資深員工","Veteran","ベテラン"
"staff_rank_professional",700000000034,"专家","專家","Professional","プロフェッショナル"
"loan.starter.name",700000000040,"创业贷款","創業貸款","Starter Loan","スタートローン"
"loan.starter.desc",700000000041,"适合创业者的小额贷款。易于偿还！","適合創業者的小額貸款。易於償還！","A small loan for beginning entrepreneurs. Easy to repay!","初心者向けの少額ローン。返済も簡単！"
"loan.business.name",700000000042,"商业贷款","商業貸款","Business Loan","ビジネスローン"
"loan.business.desc",700000000043,"成长型沙龙的标准商业贷款。条件均衡。","成長型沙龍的標準商業貸款。條件均衡。","Standard business loan for growing salons. Balanced terms.","成長中のサロン向け標準ローン。バランスの取れた条件。"
"loan.expansion.name",700000000044,"扩张贷款","擴張貸款","Expansion Loan","拡張ローン"
"loan.expansion.desc",700000000045,"沙龙扩张的大额贷款。利率低，期限长。","沙龍擴張的大額貸款。利率低，期限長。","Large loan for salon expansion. Lower interest, longer term.","サロン拡張用の大型ローン。低金利・長期返済。"
"loan.premium.name",700000000046,"优质贷款","優質貸款","Premium Loan","プレミアムローン"
"loan.premium.desc",700000000047,"为成熟沙龙提供的优质融资。最优惠利率。","為成熟沙龍提供的優質融資。最優惠利率。","Premium financing for established salons. Best rates available.","実績あるサロン向けプレミアム融資。最優遇金利。"
"loan.elite.name",700000000048,"精英贷款","精英貸款","Elite Loan","エリートローン"
"loan.elite.desc",700000000049,"精英沙龙专属融资。最高金额，最低利率。","精英沙龍專屬融資。最高金額，最低利率。","Exclusive financing for elite salons. Maximum amount, minimum interest.","エリートサロン専用融資。最高額・最低金利。"
"item.rusty_shaver",700000000050,"老旧剃须刀","老舊剃鬚刀","Rusty Shaver","錆びたシェーバー"
"item.rusty_shaver.desc",700000000051,"一把生锈的老旧剃须刀。效率低下，但能勉强用。初学者的起步工具。","一把生銹的老舊剃鬚刀。效率低下，但能勉強用。初學者的起步工具。","An old rusty shaver. Low efficiency but gets the job done. A beginner's starting tool.","錆びた古いシェーバー。効率は悪いが何とか使える。初心者の入門ツール。"
"item.smooth_ray_body",700000000052,"身体光线仪","身體光線儀","SmoothRay Body","スムースレイ ボディ"
"item.smooth_ray_body.desc",700000000053,"专业级身体脱毛光线仪。广范围覆盖，适合大面积处理。","專業級身體脫毛光線儀。廣範圍覆蓋，適合大面積處理。","Professional body hair removal device. Wide coverage for large area treatment.","プロ仕様のボディ脱毛レーザー。広範囲カバーで大きな面積に最適。"
"item.smooth_ray_face",700000000054,"面部光线仪","面部光線儀","SmoothRay Face","スムースレイ フェイス"
"item.smooth_ray_face.desc",700000000055,"精密面部脱毛光线仪。低痛感设计，适合敏感部位。","精密面部脫毛光線儀。低痛感設計，適合敏感部位。","Precision facial hair removal device. Low pain design for sensitive areas.","精密フェイス脱毛レーザー。痛みの少ない設計で敏感な部位に最適。"
"item.smooth_ray_ultra",700000000056,"超级光线仪","超級光線儀","SmoothRay Ultra","スムースレイ ウルトラ"
"item.smooth_ray_ultra.desc",700000000057,"顶级全能脱毛光线仪。最高效率，最低痛感，全身适用。","頂級全能脫毛光線儀。最高效率，最低痛感，全身適用。","Ultimate all-purpose hair removal device. Maximum efficiency, minimum pain, full body compatible.","最高級オールインワン脱毛レーザー。最高効率・最低痛み・全身対応。"
"upgrade.title",700000000060,"店铺升级","店鋪升級","Shop Upgrade","店舗アップグレード"
"upgrade.current_grade",700000000061,"当前等级: {0}","當前等級: {0}","Current Grade: {0}","現在のグレード: {0}"
"upgrade.cost",700000000062,"所需金额: ${0}","所需金額: ${0}","Required: ${0}","必要金額: ${0}"
"upgrade.button",700000000063,"升级","升級","UPGRADE","アップグレード"
"upgrade.max_grade",700000000064,"已达最高等级!","已達最高等級!","Maximum Grade Reached!","最高グレード達成！"
"upgrade.star_ok",700000000066,"★{0} 已达成 ✓","★{0} 已達成 ✓","★{0} Required ✓","★{0} 必要 ✓"
"upgrade.star_needed",700000000067,"需要 ★{0} (当前: ★{1})","需要 ★{0} (當前: ★{1})","★{0} Required (Current: ★{1})","★{0} 必要 (現在: ★{1})"
"upgrade.confirm_message",700000000065,"升级至{0}级？
费用${1}","升級至{0}級？
費用${1}","Upgrade to Grade {0}?
Cost: ${1}","グレード{0}にアップグレードしますか？
費用: ${1}"
"upgrade.grade2.name",700000000070,"小型沙龙","小型沙龍","Small Salon","小規模サロン"
"upgrade.grade3.name",700000000071,"标准沙龙","標準沙龍","Standard Salon","標準サロン"
"upgrade.grade4.name",700000000072,"大型沙龙","大型沙龍","Large Salon","大型サロン"
"upgrade.grade5.name",700000000073,"豪华沙龙","豪華沙龍","Luxury Salon","高級サロン"
"upgrade.grade6.name",700000000074,"顶级沙龙","頂級沙龍","Premium Salon","プレミアムサロン"
"upgrade.benefit.tools_unlock",700000000080,"解锁更多工具","解鎖更多工具","Unlock more tools","新しいツール解放"
"upgrade.benefit.loans_unlock",700000000081,"解锁更多贷款","解鎖更多貸款","Unlock more loans","新しいローン解放"
"upgrade.benefit.staff_unlock",700000000082,"可雇用更高级员工","可僱用更高級員工","Hire higher rank staff","上位スタッフ雇用可能"
"upgrade.benefit.beds_add",700000000083,"增加治疗床位","增加治療床位","Additional treatment beds","治療ベッド追加"
"upgrade.benefit.ads_unlock",700000000084,"解锁更多广告","解鎖更多廣告","Unlock more ads","新しい広告解放"
"upgrade.benefit.capacity_up",700000000085,"提高客户容量","提高客戶容量","Increased customer capacity","顧客キャパシティ増加"
"loan.locked",700000000090,"等级{0}","等級{0}","Grade {0}","グレード{0}"
"loan.locked_grade",700000000091,"需要等级{0}","需要等級{0}","Requires Grade {0}","グレード{0}が必要"
"tool.locked_grade",700000000092,"需要等级{0}","需要等級{0}","Requires Grade {0}","グレード{0}が必要"
"treatment.status.waiting",700000000100,"施术等待","施術等待","Waiting for treatment","施術待ち"
"treatment.status.inprogress",700000000101,"脱毛进行中","脫毛進行中","Treatment in progress","脱毛進行中"
"treatment.status.paused",700000000102,"暂停","暫停","Paused","停止中"
"treatment.warning.missingtools",700000000103,"缺少施术工具","缺少施術工具","Missing treatment tools","施術ツールがありません"
"treatment.warning.shaver",700000000104,"剃须刀","剃鬚刀","Shaver","シェーバー"
"treatment.warning.facelaser",700000000105,"面部激光","面部激光","Face Laser","顔用レーザー"
"treatment.warning.bodylaser",700000000106,"身体激光","身體激光","Body Laser","体用レーザー"
"treatment.warning.laserunit",700000000107,"激光设备","激光設備","Laser Unit","レーザー本体"
"treatment.warning.rankinsufficient",700000000108,"等级不足","等級不足","Rank Insufficient","ランク不足"
"item.RustyShaver",800000000001,"老旧剃须刀","老舊剃鬚刀","Rusty Shaver","錆シェーバー"
"item.RustyShaver.desc",800000000002,"效率最低的剃须刀","效率最低的剃鬚刀","A worn-out shaver","ボロボロの低効率シェーバー"
"item.TheShaver",800000000003,"标准剃须刀","標準剃鬚刀","The Shaver","普通のシェーバー"
"item.TheShaver.desc",800000000004,"标准效率的剃须刀","標準效率的剃鬚刀","Standard shaver","標準的な効率のシェーバー"
"item.PremiumShaver",800000000005,"高级剃须刀","高級剃鬚刀","Premium Shaver","プレミアムシェーバー"
"item.PremiumShaver.desc",800000000006,"高效率的高级剃须刀","高效率的高級剃鬚刀","High-end shaver","高効率の高級シェーバー"
"item.SmoothRayFace",800000000010,"面部激光仪","面部激光儀","SmoothRay Face","スムースレイ フェイス"
"item.SmoothRayFace.desc",800000000011,"专用于面部的激光仪","專用於面部的激光儀","Facial laser device","顔専用のレーザー機器"
"item.SmoothRayBody",800000000012,"体部激光仪","體部激光儀","SmoothRay Body","スムースレイ ボディ"
"item.SmoothRayBody.desc",800000000013,"专用于体部的激光仪","專用於體部的激光儀","Body laser device","体専用のレーザー機器"
"item.SmoothRayFacePro",800000000014,"面部激光仪Pro","面部激光儀Pro","SmoothRay Face Pro","フェイスレーザー Pro"
"item.SmoothRayFacePro.desc",800000000015,"范围稍广的面部激光","範圍稍廣的面部激光","Wider range face laser","範囲が少し広い顔用レーザー"
"item.SmoothRayBodyPro",800000000016,"体部激光仪Pro","體部激光儀Pro","SmoothRay Body Pro","ボディレーザー Pro"
"item.SmoothRayBodyPro.desc",800000000017,"范围稍广的体部激光","範圍稍廣的體部激光","Wider range body laser","範囲が少し広い体用レーザー"
"item.SmoothRayFaceProMax",800000000018,"面部激光仪ProMax","面部激光儀ProMax","SmoothRay Face ProMax","フェイスレーザー ProMax"
"item.SmoothRayFaceProMax.desc",800000000019,"范围广的面部激光","範圍廣的面部激光","Wide range face laser","範囲が広い顔用レーザー"
"item.SmoothRayBodyProMax",800000000020,"体部激光仪ProMax","體部激光儀ProMax","SmoothRay Body ProMax","ボディレーザー ProMax"
"item.SmoothRayBodyProMax.desc",800000000021,"范围广的体部激光","範圍廣的體部激光","Wide range body laser","範囲が広い体用レーザー"
"item.SmoothRayFaceUltra",800000000022,"面部激光仪Ultra","面部激光儀Ultra","SmoothRay Face Ultra","フェイスレーザー Ultra"
"item.SmoothRayFaceUltra.desc",800000000023,"范围极广的面部激光","範圍極廣的面部激光","Very wide range face laser","範囲がかなり広い顔用レーザー"
"item.SmoothRayBodyUltra",800000000024,"体部激光仪Ultra","體部激光儀Ultra","SmoothRay Body Ultra","ボディレーザー Ultra"
"item.SmoothRayBodyUltra.desc",800000000025,"范围极广的体部激光","範圍極廣的體部激光","Very wide range body laser","範囲がかなり広い体用レーザー"
"item.νSmoothRay",800000000030,"ν型光线仪","ν型光線儀","νSmoothRay","νスムースレイ"
"item.νSmoothRay.desc",800000000031,"可用于面部和体部","可用於面部和體部","Dual-use face/body laser","顔にも体にも使える連射レーザー"
"item.SmoothRayω",800000000032,"Ω型光线仪","Ω型光線儀","SmoothRay ω","スムースレイ ω"
"item.SmoothRayω.desc",800000000033,"最强的激光设备","最強的激光設備","The ultimate laser","最強のレーザー機器"
"item.NambingCreamC",800000000040,"麻醉膏C","麻醉膏C","Numbing Cream C","麻酔クリームC"
"item.NambingCreamC.desc",800000000041,"痛み上昇を10%減少する","痛み上昇を10%減少する","Reduces pain gain by 10%","痛みゲージ上昇を10%軽減"
"item.NambingCreamB",800000000042,"麻醉膏B","麻醉膏B","Numbing Cream B","麻酔クリームB"
